	text	emotion
0	工信部 好 糊涂   一是 按 GDP 比重 分配 管理 力度 , 工业 占 40% 以上 , 信息业 不到 5% , 其实 按照 经济 规律 , 工业 由 市场调节 , 公共服务 才 由 政府 管制 . 二是 去年 四 万亿 几乎 全 投向 工业 , 而 带 公益性 的 信息 通信 任其 向 百姓 索取 垄断利润 . 三是 忙忙碌碌 迷失方向 , 管 了 三氯 奶粉 ( 卫生 ) , 管 了 黄色 短信 ( 公安 ) , 而 将 三网 融合 的 管理 大权旁落 .	none
1	《 功夫 熊猫 2 》 + 《 盖世 五侠 》 食完 ！ 画 了 个 鸟 拟人 。 不 知道 为什么 鹅 爹爹 外形 气质 都 跟 我 自己 的 爹 有 像 到 OTL ~ 果然 是 … … 想家 了 吧 ！	surprise
2	最好 不 相见 ， 便 可不 相恋 。 最好 不 相知 ， 便 可不 相思 。 最好 不 相伴 ， 便 可不 相欠 。 最好 不 相惜 ， 便 可不 相忆 。 最好 不 相爱 ， 便 可不 相弃 。 最好 不 相对 ， 便 可不 相会 。 最好 不相误 ， 便 可不 相负 。 最好 不 相许 ， 便 可不 相续 。 最好 不 相遇 ， 便 可不 相聚 。 但 曾 相见 便 相知 ， 相见 何如 不见 时 。 - - 仓央嘉 措	none
3	关键 是 团队 的 核心 目标 和 愿景 是否 一致 ， 关键 是 你 的 领导力 是否 发挥作用 ？ 没有 失败 的 团队 ， 只有 失败 的 领导人 ！	none
4	过去 , 童话故事 是 以 很久很久 以前 ` ` ` ` 开头 的 , 现在 , 童话故事 是 以 如果 我 还 没有 结婚 ` ` ` ` ` 开头 的 , 你 已经 过 了 听 童话 的 年龄 了	none
5	@ LiuBo _ sina   诺 ， 之前 给 你 说 的 我 与 移动 的 十日 大战 ， 至今 未果 。 PS , @ 等等   遇到 移动 客服 的 还要 神奇 些 ， 早上 给 她 打电话 她 问答 不上 了 ， 哭 ， 中午 打 ， 还 哭 ， 好 脆弱 的 客服 ， 囧 。	sadness
6	[ 话筒 ]   @ 坐家 俞 进军   教师 素质 之 低下 、 品质 之 恶劣 ， 真是 令人发指 。 不是 学分 高 ， 有 了 个 师专 的 本 ， 就 可以 当 教师 的 ， 请 我们 伟大 的 祖国 ， 在 教育 上用 点心 ， 别 一天到晚 搞 什么 政治 斗争 ， 花 什么 三公 经费 ， 为 下一代 积点 德 ， 对 你们 将来 也 是 有 好处 的 。	disgust
7	用 行内 某大 C 的 说法 是 ， 报价 是 为 新人 工作 一天 的 服务 加 作品 的 价值 加 新人 的 特定 价值 加 边际 成本 。 摄影师 怎么 提高 自己 的 身价 呢 ， 大 C 说 ， 首先 要 提高 自身 有利于 报价 的 条件 ， 例如 学历 ， 身高 ， 外貌 ， 衣着 ， 语言 能力 ， 社会 阅历 。 再 通过 照片 提高 身价 ， 例如 是否 好看 ， 内容 ， 立意 等 。 最后 就是 选 对 受众 群	none
8	昨天早上 没 吃饭 在 地铁 看见 一 姐们 ， 我 决心 要 减肥 ， 一天 没 吃饭 ， 晚上 到 楼下 散步 见 西瓜 长 的 浑圆 ， 就 买 了 半个 西瓜 在 楼下 吃 了 上楼 ， 在 楼梯口 听到 有 一个 女 的 和 一个 男 的 在 说 现在 什么 都 不太敢 吃 ， 水果 都 有 激素 ， 西红柿   西瓜 都 打 膨胀剂 ， 现在 的 东西 都 不能 吃 ， 那到 要 逼 我 去 顺义 去 租个 农地 自己 种 蔬菜 瓜果	none
9	到 今天 为止 有 三个 最 著名 的 苹果 ： 一个 诱惑 了 夏娃 ， 一个 砸 醒 了 牛顿 ， 一个 现在 握 在 乔布斯 手中 ~ 这 三个 苹果 说明 了 ， 性爱 、 求知 、 装逼 ， 是 人类 进步 的 阶梯 … 我们 已然 进入 欲望 膨胀 的 最高 境界 ！	disgust
10	下去 买 吃 的 才 发现 没 吃 中午饭 的 今天 。 。 我 是 听 的 楼下 在 卖 老面 馒头 就 冲 了 下去 。 一口气 买 了 四个 。 。 然后 又 去 买 了 砂糖 和 棉糖 。 。 然后 再湘川 小吃店 买 了 阳春面 又 买 了 两罐 啤酒 。 。 一下 觉得 我 的 人生 就 圆满 了 ~ ~ o ( _ ) o   ~ ~	happiness
11	AA 已 在 所有 都 调好 的 情况 下死 了 三回 。 。 。 调个 音量 而已 我 总 不会 挪 一下 就 保存 一下 啊 ！ ！ ！ ！ 啥 也 浇息 不了 我 的 满腔 怒火 ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ 尼玛 ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ 吃 西瓜 去 ！ ！ ！ ！	anger
12	2012 年 4 月 26 日 ， 星期四 ， 农历 四月 ( 大 ) 初六 。 干支 ： 壬辰 年 ， 甲辰 月 ， 丁巳日 。 五行 ： 沙 中土 ， 除 执位 。 冲 ： 冲猪 ( 辛亥 ) 煞东 。	none
13	如果 你 有 吃 穿 住 ， 你 已 比 世上 75% 的 人 富有 。 如果 你 有 存款 ， 钱包 有 现金 ， 还有 小 零钱 ， 你 已 是 世上 最 富有 的 8% 了 。 如果 你 早上 起床 ， 没病 没灾 ， 你 已经 比活 不过 这周 的 100 万人 幸福 多 了 。 如果 你 从没 经历 战乱 、 牢狱 、 酷刑 、 饥荒 ， 你 比 正 身处 其中 的 5 亿人 幸福 多 了 。 少 一些 抱怨 了 ，   就 多些 幸福 ！ ！ ！	none
14	据 业内 知情 人士 无意 中 透露 ： 我国 某些 公务人员 ， 2 到 3 人 的 一顿 午餐 就 能 吃掉 6 万多 ， 原因 ： 连 吃 带 打包 （ 好酒 ） ， 开发票 （ 必须 的 ） 。 可怜 的 纳税人 。 。 。	disgust
15	我 觉得 我会 熬夜 致死 [ 月亮 ]   。 。 明明 很累 ， 就是 不想 睡觉 =   =   啊啊啊 ， 今天 还要 去 游泳 呢 。 [ 汗 ]   完全 觉得 没 力气   氮素 为了 身体 好 ， 还是 得 。 动下 亚健康 的 身体 =   =	sadness
16	城市 里 的 人 都 在 找 东西 ， 找 工作 ， 找 住处 ， 找 恋人 ， 找 一段 回忆 ， 找 一个 梦 。 有 一些 在 找 另外 一个 人 ， 还有 一些 在 找 自己 ， 有 一些 人 在 找 东西 ， 但是 他们 也 说不清 自己 在 找 什么 。 — — 安东尼	none
17	法国人 看不起 英国人 ， 英国人 看不起 美国 人 ， 美国 人 看不起 日本 人 ， 日本 人 看不起 韩国 人 ， 韩国 人 看不起 中国 人 ， 中国 人 看不起 农村 人 。	none
18	《 亚麻 系列 家居 》 为了 纪念 荷兰 数百年 来 的 亚麻 工艺 传统 ， 荷兰 本土 设计师 Chris 结合 传统 的 制绳 工艺 ， 设计 了 一系列 的 亚麻 家居 ， 有 凳子 、 地毯 、 灯具 等 ， 挺 有 感觉 的 。	like
19	苹果 妹 刚才 对 我 说 ， 妈妈 ， 今天 ， 某某某 问 我 ， 你 长大 以后 ， 会 和 谁 结婚 ？ 我 告诉 他 ， 我 就 和 你 结婚 。 。 。 。 。 。 我 真的 差点 栽一 跟头 。 。 。	surprise
20	昨天 又 用 了 五个 多 小时 ， 终于 换 了 个 我 很 满意 的 发型 ！ 多谢 Massa 的 @ Kinglee 李   愉快 的 合作 ！ 漂亮 吗 ？ [ 理发 ] [ 按摩 ] [ 美甲 ]	happiness
21	有些 人 ， 等 之 不来 ， 便 只能 离开 ； 有些 东西 ， 要 之 不得 ， 便 只能 放弃 ； 有些 过去 ， 关于 幸福 或 伤痛 ， 只能 埋于 心底 ； 有些 冀望 ， 关于 现在 或 将来 ， 只能 选择 遗忘 。	none
22	你 若 安好   就是 晴天 。 早上 起来 就 哭 了 。 现在 什么 也 不想 做 。 口水 啊 争吵 啊 都 是 P 。 老金 都 这样 了 ， 我们 就别 填堵 了 ， 哥 鸭梨 够 大 了 。 这次 真的 是 太 心疼 了 ， 貌似 上次 这么 心疼 还是 5 年前 失恋 。 只愿 你 能 快快 好 起来 。 默默 等待 我 的 小 疯子 回来 ， 等待 那 醉人 的 笑容 慢慢 爬 上 你 的 脸 。 heenim ， 你 是 永远 的 唯一 。 加油 。	sadness
23	在 福布斯 统计 的 收入 和 曝光率 ( 电视 和 杂志 、 报纸 、 网络 ) 等 多项 指标 中 ， 海清 在 电视 和 杂志 中 的 曝光率 最高 ， 挤进 前 三 。 这 也 意味着 ， 海清 健康 良好 的 公众形象 使得 她 在 家庭 电视 观众群 和 高端 杂志 读者 人群 中 具有 相当 高 的 人气 。	none
24	任何人 ， 凡有 痴爱 都 是 痛苦 的 ： 一旦 丧失 ， 就 会 心痛 欲裂 ； 其实 在 丧失 之前 ， 痛苦 早已 存在 ， 只是 在 丧失 之后 才 意识 到 了 而已 。	none
25	凤凰卫视 ： 异地 高考 ， 让 我 再次 坚定 的 认识 到 ， 我 当时 选择 深圳 的 正确性 ， 北京 ， 一个 恐怖 的 城市 ， 没有 户口 ， 不让 买房 ， 不让 买车 ， 不让 上 公立学校 ， 不让 高考 ， 没有 多数 福利 ， 除了 能 在 北京 工作 ， 我 不 知道 还 能 干什么 ？ 那些 IRC 里 的 朋友 们 现在 有 多 人 通过 正常 渠道 获得 北京 户口 了 ？ 哎 ...	disgust
26	我爱你 ， 不在乎 你 是否 高大 帅气 ； 我爱你 ， 不在乎 你 是否 有房 有车 ； 我爱你 ， 只 因 你 的 真诚 ， 你 的 平凡 。 从 遇见 你 那天 起 ， 就 认定 了 你 是 能够 守护 我 一生 的 那个 人 ， 只要 有 你 在 身边 ， 其他 什么 东西 都 已 不再 重要 。 有些 人 ， 总能 让 我们 笑 的 最 灿烂 ， 哭 的 最 彻底 。 有些 人 ， 你 说不出 哪里 好 ， 但 就是 谁 都 替代 不 。 zhuan	none
27	就是 欣赏 李宇春 ， 北京 台 中秋 晚会 ， 明星 都 在 假唱 ， 真是 没意思 ， 这 该是 明星 该 有 的 态度 嘛 ， 唱 不 唱 的 好 时 一 回事 ， 假唱 又 是 另一回事 ， 李宇春 就 没 假唱	disgust
28	五月天 啊 五月天 ~ ~ ！ ！ ！ 啊啊啊 ~ ~ ~ ！ ！ ！ ！ 话 说 ~ ~ 晚上 把 卡农 变奏曲 和 婚礼 进行曲 结合 到 一起 ~ ~ 在 咱 亲爱 的 老板 求婚 的 时候 咱来 演奏 ~ ~	happiness
29	这么 多年 来 对于 茂业 百货 的 的 夜购 总是 好奇 ， 总 想 知道 凌晨 还有 多少 人 在 逛商场 ， 他们 都 是 怎样 的 人 ， 于是 昨晚 11 点 ， 小米 妞 睡着 后 ， 我 还是 赶 最后 一个 小时 奔 向 南山 茂业 ， 据说 可以 营业 到 12 点半 ， 终于 满足 了 我 的 好奇心 ， 并且 全身而退 — — 什么 都 没 买 。 现场 人气 不错 ， 不过 好像 对面 的 海雅 也 11 点多 才 关门 。	happiness
30	无花果 炖 瘦肉 用料 ： 无花果 2 个 ， 瘦肉 100 克 ， 蜜枣 1 个 。 方解 ： 无花果 味 甘性平 无毒 ， 具有 助消化 、 清热 润肠 、 止泻 痢 、 治五 痔 的 作用 ； 蜜枣 甘润 能 健脾 和 胃 ； 猪肉 味 甘性平 ， 有 滋阴 润燥 、 补气 养血 作用 。 做法 ： 将 猪肉 冼净 并 飞水 切块 ， 再 与 洗净 的 无花果 、 蜜枣 放入 炖 盅 内 ， 加 清水 300ml ， 隔水 炖 2 小时 即可 。	none
31	假如 人生 不曾 相遇 ， 我 不会 相信 有 一种 人一 认识 就 觉得 温馨 。 假如 人生 不曾 相遇 ， 不曾 想过 牵挂 一个 人 。 假如 人生 不曾 相遇 ， 就 不 知道 自己 喜欢 收集 你 的 喜怒哀乐 。 我们 是 颠沛 旅途 上 偶然 结识 的 路 人 ， 因为 灵魂 某处 的 相似 ， 牵 了 手 彼此 微笑 。 如果 世界 上 有 两条 可以 相交 的 平行线 ， 那能 不能 通向 ， 我 想 去 的 任何 地方 。	none
32	阮经天   自由自在 做 自己 … [ 给力 ] / / @ 阮经天 中文网 : 本期 《 申 周刊 》 导读 ： 1 . 阮经天 ， 自由自在 做 自己	none
33	有 五千年 树龄 的 黄帝 手植 柏 ， 五千年 间 无数 人 围绕 观瞻 ， 朝代 不同 ， 身份 不同 ， 但 崇敬 的 心情 是 一致 的 。 阅尽 沧桑 冷暖 ， 五千年 依旧 葱茏 ， 与 之 相比 ， 每个 生命 无非 沧海一粟 。	none
34	上午 的 《 寻宝 》 走进 诸暨 的 海选 结束 了 ， 地点 在 诸暨 的 西施 故里 公园 ， 很漂亮 的 江南 小城 建筑 ， 环境 风景 不错 ， 当地 出于 安全 稳妥 的 原因 只发 了 600 张票 ， 按 每位 藏友 两件 宝物 计算 也 有 一千多 件 了 ！ 几位 专家 慧眼识 宝 ， 一批 宝物 即将 呈现 在 广大观众 面前 ！ 天公 做美 ， 早晨 有点 阴天 还 比较 凉爽 ， 中午 就 很 热 了 ， 谢谢 专家	happiness
35	大叔 真 走 文艺 路线 搞 小 清新 浪漫 电台 了 ！ ！ ！ ？ ？ ... 撒花 祝福 这个 & amp ; quot ; 匿名 他 & amp ; quot ; 童鞋 [ 心 ]	like
36	误尽 青春 总是 情 ， 痴情 男女 苦觅君 。 萧萧 雪雨 江湖 路 ， 塞外 明珠 一 金城 。 男重 相貌 自缺 才 ， 女轻 品质 铜气 熏 。 真心 不见 爱情 假 ， 房舍 车马 来 滋润 。	none
